sample_ID,TA,Mass,Sample.Index
junk1,2219.548241,60.2241,1
junk2,2215.840455,60.1328,2
junk3,2211.220022,60.1818,3
20250608_kb_p1_t1,3459.644792,60.0468,4
20250608_kb_p2_t1,2845.543713,60.0386,5
20250608_kb_p3_t1,3071.096639,60.062,6
20250608_kb_p4_t1,2444.153692,60.0396,7
20250608_kb_p5_t1,2397.357731,60.1593,8
20250608_kb_p6_t1,2868.579186,60.2798,9
20250608_kb_p7_t1,2616.915556,60.1736,10
20250608_kb_ocn_t1,2264.781485,60.0913,11
20250608_kb_p1_t2,3586.537382,60.1808,12
20250608_kb_p2_t2,2953.737542,60.3707,13
20250608_kb_p3_t2,3139.650943,60.0674,14
20250608_kb_p4_t2,2545.349484,60.1475,15
20250608_kb_p5_t2,2522.418242,60.1406,16
20250608_kb_p6_t2,2973.284,60.3785,17
20250608_kb_p7_t2,2697.701454,60.1219,18
20250608_kb_ocn_t2,2299.533814,60.2115,19
20250608_kb_p1_t3,3680.340046,60.3975,20
20250608_kb_p2_t3,3066.018416,60.1758,21
20250608_kb_p3_t3,3216.583889,60.358,22
20250608_kb_p4_t3,2585.954769,60.3388,23
20250608_kb_p5_t3,2658.914123,60.155,24
20250608_kb_p6_t3,3080.437724,60.0665,25
20250608_kb_p7_t3,2751.432342,60.0595,26
20250608_kb_ocn_t3,2312.079798,60.4202,27
junk1,2214.845187,60.0292,1
junk2,2218.413009,60.1937,2
junk3,2211.397094,60.0737,3
20250608_kb_p8_t1,2493.539041,60.2721,4
20250608_kb_p9_t1,2379.871456,60.2822,5
20250608_kb_p10_t1,2350.344883,60.0297,6
20250608_kb_p11_t1,2372.335692,60.2303,7
20250608_kb_p12_t1,2520.916609,60.1123,8
20250608_kb_p13_t1,2615.554566,60.0295,9
20250608_kb_p14_t1,2411.629837,60.0963,10
20250608_kb_p15_t1,2813.626911,60.0488,11
20250608_kb_p8_t2,2577.361882,60.0219,12
20250608_kb_p9_t2,2443.864861,60.0115,13
20250608_kb_p10_t2,2396.790168,60.3005,14
20250608_kb_p11_t2,2497.565773,60.1045,15
20250608_kb_p12_t2,2713.241923,60.0979,16
20250608_kb_p13_t2,2678.376157,60.1123,17
20250608_kb_p14_t2,2537.409746,60.0891,18
20250608_kb_p15_t2,2899.025338,60.2234,19
20250608_kb_p8_t3,2678.471911,60.1082,20
20250608_kb_p9_t3,2509.2223,60.1134,21
20250608_kb_p10_t3,2508.041691,60.248,22
20250608_kb_p11_t3,2615.150533,60.0198,23
20250608_kb_p12_t3,2907.766811,60.1102,24
20250608_kb_p13_t3,2752.114357,60.0594,25
20250608_kb_p14_t3,2629.036283,60.1643,26
20250608_kb_p15_t3,2917.413582,60.0432,27
junk1,2227.090114,60.215,1
junk2,2217.222747,60.0618,2
junk3,2212.145874,60.1726,3
20250622_sb_p16_t1,2527.392361,60.289,4
20250622_sb_p17_t1,2151.061395,60.0725,5
20250622_sb_p18_t1,2471.920323,60.094,6
20250622_sb_p19_t1,2442.888894,60.2403,7
20250622_sb_p20_t1,2453.989656,60.006,8
20250622_sb_p21_t1,2600.255085,60.1202,9
20250622_sb_p22_t1,2413.130174,60.2338,10
